""number"",""logFC"",""AveExpr"",""t"",""P.Value"",""adj.P.Val"",""B""
6143,0.292929901815839,-0.62988077309254,0.694539546169297,0.488032314963496,0.736969015687467,-5.77303004232363
6144,0.512045418409908,-0.469944880465875,1.1511845982999,0.25083019555671,0.538308240246304,-5.37689498309568
6145,0.697786450956055,-0.330158974166895,1.54879298029667,0.122781692866638,0.378946480411062,-4.87450557456374
6146,0.474868854187309,-0.312922934494223,1.01248735677329,0.312349943127144,0.600839336656458,-5.51776717591784
6147,0.201143767557025,-0.316264770935789,0.452186705354577,0.651553011500483,0.843541736616696,-5.9039796017382
6148,-0.0959897027451618,-0.329152687600101,-0.225016459505123,0.822162676487944,0.928169543574373,-5.97653847867674
6149,-0.468133117140274,-0.329726612649294,-1.12082043562453,0.263512258171558,0.552107443360993,-5.40926258560912
6150,-0.50314332504703,-0.331467339394142,-1.18833255437882,0.235906023157181,0.522109346296085,-5.33613362245106
6151,-0.425960494528636,-0.31497183499019,-1.03004092470636,0.304053350431867,0.591619397632001,-5.50092655750015
6152,-0.347518413768931,-0.284569719072039,-0.849950515378065,0.39622063102866,0.67112781164634,-5.66006220852129
6153,-0.0606942088792131,-0.222997608387814,-0.156982356672522,0.87539399782271,0.951880443087018,-5.98880116144576
6154,0.0559594934472762,-0.224246935775863,0.135257887083216,0.892524155277866,0.959072261622339,-5.99179699582152
6155,0.227612104115913,-0.249727373753629,0.497395013822442,0.61937716240783,0.825836216543773,-5.88374114303467
6156,0.66705983376899,-0.348334279720932,1.41978922974647,0.156998742962968,0.42638699917915,-5.05344343373204
6157,0.74042005004581,-0.417674205209132,1.56184010299988,0.119675866365264,0.373965370514388,-4.85556026161005
6158,0.263575777470653,-0.367300854508102,0.546146150998423,0.585485343182429,0.802859827253627,-5.85976225402556
6159,-0.118977431324674,-0.331841898893473,-0.246463408809095,0.805539407381181,0.919213644675597,-5.97176769182307
6160,-0.0952065916923094,-0.350971360833021,-0.194209740725499,0.846180003240176,0.939327428190822,-5.98263213316204
6161,0.023350230116816,-0.337205014864106,0.0483892357968423,0.961447276823151,0.987403743373516,-5.99932530981847
6162,0.284502013729332,-0.374540701110103,0.609675278754501,0.542667963475485,0.775508121530803,-5.82516223602818
6163,0.608902846772784,-0.404097063500145,1.31262983174017,0.19059254394348,0.466735758531988,-5.19046444511886
6164,0.854592242407372,-0.438850117711682,1.85647714292966,0.0646413874485912,0.279667917197127,-4.38650955204001
6165,1.03561805642179,-0.512263344606731,2.24112016799607,0.0259560843949295,0.176208885967372,-3.65670722557236
6166,0.830013786871787,-0.592607555480204,1.78505244613176,0.0755469513779572,0.301577692323778,-4.50743745478298
6167,0.370121847620274,-0.519480140535308,0.802812876907171,0.4228968346893,0.692308064435752,-5.6967150405958
6168,0.76186158902391,-0.59009321343754,1.66544313299057,0.097161407221156,0.33972662336249,-4.69961110943026
6169,0.813322630489124,-0.650208907649614,1.80505463121798,0.0723504371577512,0.295114318797952,-4.4740362803876
6170,0.975946189230814,-0.637627104823314,2.21668477405733,0.0276060435810354,0.182823165952206,-3.70698093902817
6171,0.976974335643143,-0.644107862063553,2.28623577494864,0.0231342274580652,0.16859952400142,-3.56250301239043
6172,0.632962843460524,-0.734043031913793,1.53407831197502,0.126360127053726,0.383442260088599,-4.8956856642266
6173,0.167671575005689,-0.787207643364372,0.403637595285642,0.686847520074422,0.859944217636591,-5.92357146266679
6174,-0.150065249316354,-0.835345952768655,-0.336155841658211,0.737054324456926,0.884214639867795,-5.9471163432035
6175,0.152354873093051,-0.886329325723123,0.334440431340249,0.738346535207917,0.884582279932425,-5.94765894219945
6176,0.430406068657383,-0.828913490527728,0.935219124088904,0.350638655428906,0.633384170007929,-5.58848542419239
6177,0.709115549321024,-0.684923726668716,1.58967331610473,0.113257418488632,0.365680810683617,-4.81462515915579
6178,0.275675599287074,-0.663852802561048,0.656765109142295,0.511976780359081,0.755378453392565,-5.79706950479171
6179,0.0600823125128518,-0.609023018883456,0.145010996233214,0.884826905564281,0.956539322654444,-5.99050711341973
6180,0.17390163326469,-0.494799661401947,0.409939496764075,0.682225051718632,0.858463200672247,-5.92115368758061
6181,0.214457671890392,-0.535143164325321,0.52572084267008,0.59957958580207,0.812522327761987,-5.87008073539577
6182,-0.260346084266278,-0.547002466316013,-0.561190492154863,0.575204230453156,0.798839704883803,-5.85191132122118
6183,-0.374642639421695,-0.747118075993082,-0.81816277498765,0.414095874774791,0.686466539665158,-5.68500757214981
6184,-0.732514574000934,-0.921989186669887,-1.51430910063568,0.131295821008736,0.390769343454915,-4.92382956425022
6185,-0.724246151568039,-1.01767150565917,-1.55253375891003,0.12188480102604,0.377612223021813,-4.8690896077581
6186,-0.533252396175439,-1.00824731898228,-1.15775581649275,0.248143016383686,0.535298523598821,-5.36977766700048
6187,-0.357690194037427,-0.954889551051859,-0.858369671950928,0.391565978787479,0.666969320845758,-5.65329707414388
6188,0.0808533196428743,-0.728954635485704,0.214601922557066,0.830264432394324,0.931693569000203,-5.9786986668323
6189,0.537859032879034,-0.463753465152662,1.29899900075572,0.195221664117025,0.473324597797246,-5.20713552826894
6190,0.904037994587166,-0.151960225596115,1.94952485678641,0.0524264111053305,0.251529945648527,-4.22208237145291
6191,0.671315560912,-0.131452369371739,1.40183751386782,0.162287677519318,0.432172243574229,-5.07713418791036
6192,-0.266691569192385,-0.27196681665842,-0.526267630483833,0.599200274069427,0.812263932045633,-5.8698096182373
6193,-0.488594883255599,-0.437615880533453,-0.882333913933014,0.378500953102728,0.655733294733593,-5.6336782888805
6194,-0.953590654073572,-0.611162827179758,-1.79328949204241,0.0742168240281176,0.298569044674269,-4.49372638642409
6195,-0.578720421519623,-0.648392762987438,-1.11484406682872,0.266059931432275,0.554259344338353,-5.415532541459
6196,-1.06781916296392,-0.581203367090786,-2.25548486776335,0.0250267356462947,0.173955001925658,-3.62690733497795
